func,ORNL_2018_DEM_mosaic_2025-10-22_1.tif_1,ORNL_2018_DEM_mosaic_2025-10-22_2.tif_1,ORNL_2018_DEM_mosaic_2025-10-22_3.tif_1,ORNL_2018_DEM_mosaic_2025-10-22_4.tif_1,ORNL_2018_DEM_mosaic_2025-10-22_5.tif_1,ORNL_2018_DEM_mosaic_2025-10-22_6.tif_1,ORNL_2018_DEM_mosaic_2025-10-22_7.tif_1,ORNL_2018_DEM_mosaic_2025-10-22_8.tif_1,ORNL_2018_DEM_mosaic_2025-10-22_9.tif_1,RMNP_2020_DEM_mosaic_2025-10-22_1.tif_1,RMNP_2020_DEM_mosaic_2025-10-22_2.tif_1,RMNP_2020_DEM_mosaic_2025-10-22_3.tif_1,RMNP_2020_DEM_mosaic_2025-10-22_4.tif_1,RMNP_2020_DEM_mosaic_2025-10-22_5.tif_1,RMNP_2020_DEM_mosaic_2025-10-22_6.tif_1,RMNP_2020_DEM_mosaic_2025-10-22_7.tif_1,RMNP_2020_DEM_mosaic_2025-10-22_8.tif_1,RMNP_2020_DEM_mosaic_2025-10-22_9.tif_1,CPER_2020_DEM_mosaic_2025-10-22_1.tif_1,CPER_2020_DEM_mosaic_2025-10-22_2.tif_1,CPER_2020_DEM_mosaic_2025-10-22_3.tif_1,CPER_2020_DEM_mosaic_2025-10-22_4.tif_1,CPER_2020_DEM_mosaic_2025-10-22_5.tif_1,CPER_2020_DEM_mosaic_2025-10-22_6.tif_1,CPER_2020_DEM_mosaic_2025-10-22_7.tif_1,CPER_2020_DEM_mosaic_2025-10-22_8.tif_1,CPER_2020_DEM_mosaic_2025-10-22_9.tif_1,WOOD_2019_DEM_mosaic_2025-10-22_1.tif_1,WOOD_2019_DEM_mosaic_2025-10-22_2.tif_1,WOOD_2019_DEM_mosaic_2025-10-22_3.tif_1,WOOD_2019_DEM_mosaic_2025-10-22_4.tif_1,WOOD_2019_DEM_mosaic_2025-10-22_5.tif_1,WOOD_2019_DEM_mosaic_2025-10-22_6.tif_1,WOOD_2019_DEM_mosaic_2025-10-22_7.tif_1,WOOD_2019_DEM_mosaic_2025-10-22_8.tif_1,WOOD_2019_DEM_mosaic_2025-10-22_9.tif_1,WOOD_2020_DEM_mosaic_20251005.tif_1,ORNL_2018_DEM_mosaic_2025-10-22_1.tif_2,ORNL_2018_DEM_mosaic_2025-10-22_1.tif_3,ORNL_2018_DEM_mosaic_2025-10-22_2.tif_2,ORNL_2018_DEM_mosaic_2025-10-22_2.tif_3,ORNL_2018_DEM_mosaic_2025-10-22_3.tif_2,ORNL_2018_DEM_mosaic_2025-10-22_3.tif_3,ORNL_2018_DEM_mosaic_2025-10-22_4.tif_2,ORNL_2018_DEM_mosaic_2025-10-22_4.tif_3,ORNL_2018_DEM_mosaic_2025-10-22_5.tif_2,ORNL_2018_DEM_mosaic_2025-10-22_5.tif_3,ORNL_2018_DEM_mosaic_2025-10-22_6.tif_2,ORNL_2018_DEM_mosaic_2025-10-22_6.tif_3,ORNL_2018_DEM_mosaic_2025-10-22_7.tif_2,ORNL_2018_DEM_mosaic_2025-10-22_7.tif_3,ORNL_2018_DEM_mosaic_2025-10-22_8.tif_2,ORNL_2018_DEM_mosaic_2025-10-22_8.tif_3,ORNL_2018_DEM_mosaic_2025-10-22_9.tif_2,ORNL_2018_DEM_mosaic_2025-10-22_9.tif_3,RMNP_2020_DEM_mosaic_2025-10-22_1.tif_2,RMNP_2020_DEM_mosaic_2025-10-22_1.tif_3,RMNP_2020_DEM_mosaic_2025-10-22_2.tif_2,RMNP_2020_DEM_mosaic_2025-10-22_2.tif_3,RMNP_2020_DEM_mosaic_2025-10-22_3.tif_2,RMNP_2020_DEM_mosaic_2025-10-22_3.tif_3,RMNP_2020_DEM_mosaic_2025-10-22_4.tif_2,RMNP_2020_DEM_mosaic_2025-10-22_4.tif_3,RMNP_2020_DEM_mosaic_2025-10-22_5.tif_2,RMNP_2020_DEM_mosaic_2025-10-22_5.tif_3,RMNP_2020_DEM_mosaic_2025-10-22_6.tif_2,RMNP_2020_DEM_mosaic_2025-10-22_6.tif_3,RMNP_2020_DEM_mosaic_2025-10-22_7.tif_2,RMNP_2020_DEM_mosaic_2025-10-22_7.tif_3,RMNP_2020_DEM_mosaic_2025-10-22_8.tif_2,RMNP_2020_DEM_mosaic_2025-10-22_8.tif_3,RMNP_2020_DEM_mosaic_2025-10-22_9.tif_2,RMNP_2020_DEM_mosaic_2025-10-22_9.tif_3,CPER_2020_DEM_mosaic_2025-10-22_1.tif_2,CPER_2020_DEM_mosaic_2025-10-22_1.tif_3,CPER_2020_DEM_mosaic_2025-10-22_2.tif_2,CPER_2020_DEM_mosaic_2025-10-22_2.tif_3,CPER_2020_DEM_mosaic_2025-10-22_3.tif_2,CPER_2020_DEM_mosaic_2025-10-22_3.tif_3,CPER_2020_DEM_mosaic_2025-10-22_4.tif_2,CPER_2020_DEM_mosaic_2025-10-22_4.tif_3,CPER_2020_DEM_mosaic_2025-10-22_5.tif_2,CPER_2020_DEM_mosaic_2025-10-22_5.tif_3,CPER_2020_DEM_mosaic_2025-10-22_6.tif_2,CPER_2020_DEM_mosaic_2025-10-22_6.tif_3,CPER_2020_DEM_mosaic_2025-10-22_7.tif_2,CPER_2020_DEM_mosaic_2025-10-22_7.tif_3,CPER_2020_DEM_mosaic_2025-10-22_8.tif_2,CPER_2020_DEM_mosaic_2025-10-22_8.tif_3,CPER_2020_DEM_mosaic_2025-10-22_9.tif_2,CPER_2020_DEM_mosaic_2025-10-22_9.tif_3,WOOD_2019_DEM_mosaic_2025-10-22_1.tif_2,WOOD_2019_DEM_mosaic_2025-10-22_1.tif_3,WOOD_2019_DEM_mosaic_2025-10-22_2.tif_2,WOOD_2019_DEM_mosaic_2025-10-22_2.tif_3,WOOD_2019_DEM_mosaic_2025-10-22_3.tif_2,WOOD_2019_DEM_mosaic_2025-10-22_3.tif_3,WOOD_2019_DEM_mosaic_2025-10-22_4.tif_2,WOOD_2019_DEM_mosaic_2025-10-22_4.tif_3,WOOD_2019_DEM_mosaic_2025-10-22_5.tif_2,WOOD_2019_DEM_mosaic_2025-10-22_5.tif_3,WOOD_2019_DEM_mosaic_2025-10-22_6.tif_2,WOOD_2019_DEM_mosaic_2025-10-22_6.tif_3,WOOD_2019_DEM_mosaic_2025-10-22_7.tif_2,WOOD_2019_DEM_mosaic_2025-10-22_7.tif_3,WOOD_2019_DEM_mosaic_2025-10-22_8.tif_2,WOOD_2019_DEM_mosaic_2025-10-22_8.tif_3,WOOD_2019_DEM_mosaic_2025-10-22_9.tif_2,WOOD_2019_DEM_mosaic_2025-10-22_9.tif_3,WOOD_2020_DEM_mosaic_20251005.tif_2,WOOD_2020_DEM_mosaic_20251005.tif_3
sa,16.42594378,18.73930307,19.46419136,14.78786753,23.07319127,16.94175984,33.8015238,20.10261741,19.02630417,42.5589643,40.05738932,50.19747353,30.42236713,126.6410143,129.0247012,47.89265005,103.1137194,109.0569889,8.715140123,6.699820755,6.147914076,9.272723698,5.004272683,7.916121092,8.666732799,10.06436608,4.400741298,6.889390082,5.965226412,6.054848255,5.802079029,6.763582676,7.07221122,4.954673547,5.187951167,6.246092592,16.59672865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sq,20.03008085,23.01647587,24.45026314,18.09301637,27.19837879,20.73621466,43.91271014,23.7459997,22.12061492,51.77858247,47.74772753,65.81577338,37.72600753,152.6488751,157.3118209,59.44830016,129.9186425,132.1421122,10.5951029,8.191870982,7.571072224,10.88387965,6.178590091,9.51232908,10.55992608,11.2048666,6.101350063,8.718809647,7.324555448,7.440249923,7.250238447,8.720013073,8.480669121,6.06802734,6.637548412,7.142656409,18.26419746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
s10z,323.5690002,336.8417969,357.7926025,324.9449951,362.6955994,354.9096008,412.7142029,340.7573914,362.7942017,2850.31001,2843.35,3007.969971,2681.641992,3198.296045,3474.409961,2801.413965,3177.304004,3114.600049,1669.691992,1666.573999,1683.302002,1657.155981,1657.72998,1685.784009,1663.278003,1665.833984,1659.331958,633.2566162,641.8017944,636.8485962,612.8265869,626.3564087,626.1455933,596.0078003,602.1769897,598.6104004,593.4057983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sdq,0.223779228,0.295143308,0.299614617,0.279996473,0.267439095,0.335932292,0.324056976,0.354358554,0.293155345,0.261410503,0.254667262,0.321227775,0.313570972,0.498307274,0.629175539,0.350645917,0.483507918,0.501381164,0.06996864,0.074565364,0.081462303,0.067419738,0.063615204,0.073554664,0.072906655,0.064407857,0.101285863,0.130890745,0.144220617,0.147392754,0.122685145,0.129687569,0.142530213,0.128924779,0.119853326,0.135765067,0.154000929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sdq6,231572.3176,230759.7209,227225.0521,222452.9422,246288.6442,243560.4671,234662.3936,234842.0466,252603.8548,2266174.811,2300477.058,2352086.878,2182618.2,2368475.42,2670170.222,2235515.641,2415207.614,2356811.011,1392848.738,1396263.129,1406757.037,1385722.499,1392808.035,1399048.266,1385400.606,1390033.559,1385134.108,514693.2069,522871.451,517078.6749,499905.1195,507466.4212,508161.0654,488660.2326,494101.8576,492424.834,473372.5103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sdr,0.000293877,0.00039372,0.000260254,0.00041089,0.000247025,0.000504721,0.000152896,0.000574322,0.000380074,3.24E-05,6.44E-05,4.46E-05,0.000137941,2.96E-05,3.78E-05,6.32E-05,3.64E-05,3.70E-05,9.90E-05,0.000147247,0.000240933,0.000119655,0.000207604,9.20E-05,9.69E-05,0.000101653,0.000358758,0.000447072,0.000593339,0.000483771,0.000483797,0.000429296,0.000504436,0.000643046,0.000505866,0.000914699,0.000274257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sbi,0.064810945,0.07324233,0.077212736,0.060914327,0.08188016,0.06345134,0.11715273,0.073940063,0.066326495,0.018734358,0.017036271,0.022442959,0.014239131,0.049230139,0.04643631,0.02178535,0.04167853,0.04357861,0.00637127,0.00492593,0.004515999,0.006582925,0.003734348,0.005698803,0.006384748,0.006759326,0.003699021,0.013967728,0.011587378,0.011923133,0.012015264,0.014105078,0.013805262,0.010335753,0.01117935,0.012056256,0.031287544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sci,-139.9526884,-132.6609917,-120.8683579,-136.3572636,-140.2361898,-147.8473117,-70.19603465,-133.3040553,-157.6661318,-1852.194277,-1882.113031,-1855.560317,-1803.497646,-1621.538726,-1842.780525,-1784.867521,-1697.75186,-1676.138781,-1199.338808,-1207.855727,-1220.378712,-1194.956819,-1211.686579,-1207.510319,-1191.67322,-1200.24597,-1203.224703,-426.614961,-435.6638757,-429.4923753,-417.7848204,-418.1745378,-423.9281321,-410.9920933,-414.3121169,-414.8812462,-371.7456896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ssk,0.294369299,0.482517221,1.112302417,0.702572612,0.119645206,0.627634733,1.444417331,0.574342133,0.196759762,0.649353471,0.27052085,1.365183151,0.230310142,0.740434152,-0.309648001,-0.301635222,0.639062797,0.566106666,-0.204949412,-0.200314687,0.323245741,-0.351400799,-0.72025916,0.216817758,-0.204634336,-0.194235842,0.976578784,0.155301428,0.574963573,0.138237705,0.279053665,0.769111969,0.364431418,-0.257885078,-0.545027201,-0.108741339,-0.156389366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sku,-0.549699904,-0.510102026,0.742673931,-0.344921612,-0.949335064,-0.220686472,0.904939134,-0.527122454,-1.053060687,0.242548504,-0.817655601,1.299256466,-0.487308247,-0.519631694,-0.632395205,-0.359774747,-0.302824984,-0.577402826,-0.741105159,-0.618562617,-0.500173898,-1.008052735,-0.136370488,-0.538189856,-0.605419247,-1.347599595,1.879526935,-0.480547528,-0.073121666,-0.360345786,-0.060367957,0.1630204,-0.433453482,-0.569294973,-0.209752973,-1.201423455,-1.484306035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
