"func","value"
"sa",16.5967286508262
"sq",18.2641974565406
"s10z",593.405798339844
"sdq",0.154000929251518
"sdq6",473372.510300596
"sdr",0.00027425690138271
"sbi",0.0312875441270638
"sci",-371.745689558153
"ssk",-0.156389366503894
"sku",-1.4843060346868
"sds",0.0293305732405973
"sfd",2.00000018899358
"srw",c(10.1010101010101, 0.0579722881002743, 90.9090909090909)
"std",c(0, 0.0249589821942293)
"svi",-104.706513390573
"stxr",c(0.724362115424175, 0.554777577441961)
"ssc",-0.00149330258450723
"sv",528.122985839844
"sph",593.879028320312
"sk",39.1889584644326
"smean",559.279277374136
"spk",8.3580065378419
"svk",18.2096729328457
"scl",c(1023.890625, 784.181762695312, 1413.50659179688, 1413.50659179688)
"sdc",10.1260375976562
